W00F,None,{'station': 'W00F', 'az': 210.121, 'dist': '87.6769', 'pga': 0.778, 'date': '2011-12-04', 'time': '10:13:04'}
W014,None,{'station': 'W014', 'az': 215.56, 'dist': '74.1617', 'pga': 5.682, 'date': '2011-12-04', 'time': '10:13:04'}
W015,None,{'station': 'W015', 'az': 211.511, 'dist': '124.172', 'pga': 0.598, 'date': '2011-12-04', 'time': '10:13:04'}
W017,None,{'station': 'W017', 'az': 205.531, 'dist': '142.971', 'pga': 0.658, 'date': '2011-12-04', 'time': '10:13:04'}
W018,None,{'station': 'W018', 'az': 203.113, 'dist': '143.727', 'pga': 2.093, 'date': '2011-12-04', 'time': '10:13:04'}
W019,None,{'station': 'W019', 'az': 207.868, 'dist': '171.09', 'pga': 0.479, 'date': '2011-12-04', 'time': '10:13:04'}
W01D,None,{'station': 'W01D', 'az': 206.871, 'dist': '109.3', 'pga': 1.376, 'date': '2011-12-04', 'time': '10:13:04'}
W01F,None,{'station': 'W01F', 'az': 206.439, 'dist': '184.257', 'pga': 0.538, 'date': '2011-12-04', 'time': '10:13:04'}
W020,None,{'station': 'W020', 'az': 205.884, 'dist': '170.27', 'pga': 0.538, 'date': '2011-12-04', 'time': '10:13:04'}
W021,None,{'station': 'W021', 'az': 205.083, 'dist': '123.559', 'pga': 0.897, 'date': '2011-12-04', 'time': '10:13:04'}
W042,None,{'station': 'W042', 'az': 287.31, 'dist': '32.007', 'pga': 3.768, 'date': '2011-12-04', 'time': '10:13:04'}
W059,None,{'station': 'W059', 'az': 218.27, 'dist': '234.251', 'pga': 0.479, 'date': '2011-12-04', 'time': '10:13:04'}
W072,None,{'station': 'W072', 'az': 233.129, 'dist': '134.689', 'pga': 0.957, 'date': '2011-12-04', 'time': '10:13:04'}
W077,None,{'station': 'W077', 'az': 234.258, 'dist': '168.463', 'pga': 0.778, 'date': '2011-12-04', 'time': '10:13:04'}
W078,None,{'station': 'W078', 'az': 229.636, 'dist': '147.963', 'pga': 0.837, 'date': '2011-12-04', 'time': '10:13:04'}
W079,None,{'station': 'W079', 'az': 234.234, 'dist': '145.522', 'pga': 0.598, 'date': '2011-12-04', 'time': '10:13:04'}
W07E,None,{'station': 'W07E', 'az': 239.972, 'dist': '158.314', 'pga': 1.376, 'date': '2011-12-04', 'time': '10:13:04'}
W07F,None,{'station': 'W07F', 'az': 231.168, 'dist': '131.232', 'pga': 1.436, 'date': '2011-12-04', 'time': '10:13:04'}
W083,None,{'station': 'W083', 'az': 233.042, 'dist': '105.874', 'pga': 3.17, 'date': '2011-12-04', 'time': '10:13:04'}
W084,None,{'station': 'W084', 'az': 232.314, 'dist': '139.317', 'pga': 0.538, 'date': '2011-12-04', 'time': '10:13:04'}
W087,None,{'station': 'W087', 'az': 225.135, 'dist': '167.242', 'pga': 0.897, 'date': '2011-12-04', 'time': '10:13:04'}
W08A,None,{'station': 'W08A', 'az': 238.053, 'dist': '164.754', 'pga': 1.436, 'date': '2011-12-04', 'time': '10:13:04'}
W08E,None,{'station': 'W08E', 'az': 235.231, 'dist': '164.718', 'pga': 2.153, 'date': '2011-12-04', 'time': '10:13:04'}
W095,None,{'station': 'W095', 'az': 238.007, 'dist': '170.376', 'pga': 0.658, 'date': '2011-12-04', 'time': '10:13:04'}
W096,None,{'station': 'W096', 'az': 242.018, 'dist': '133.738', 'pga': 0.598, 'date': '2011-12-04', 'time': '10:13:04'}
W001,None,{'station': 'W001', 'az': 157.597, 'dist': '66.6048', 'pga': 0.359, 'date': '2011-12-04', 'time': '18:52:51'}
W003,None,{'station': 'W003', 'az': 111.058, 'dist': '44.4246', 'pga': 1.077, 'date': '2011-12-04', 'time': '18:52:51'}
W008,None,{'station': 'W008', 'az': 96.5628, 'dist': '48.9651', 'pga': 0.359, 'date': '2011-12-04', 'time': '18:52:51'}
W00A,None,{'station': 'W00A', 'az': 124.404, 'dist': '45.4761', 'pga': 0.598, 'date': '2011-12-04', 'time': '18:52:51'}
W00F,None,{'station': 'W00F', 'az': 90.9346, 'dist': '52.5369', 'pga': 0.538, 'date': '2011-12-04', 'time': '18:52:51'}
W014,None,{'station': 'W014', 'az': 74.6242, 'dist': '55.2729', 'pga': 0.658, 'date': '2011-12-04', 'time': '18:52:51'}
W015,None,{'station': 'W015', 'az': 134.262, 'dist': '44.4481', 'pga': 1.316, 'date': '2011-12-04', 'time': '18:52:51'}
W017,None,{'station': 'W017', 'az': 146.924, 'dist': '64.6172', 'pga': 0.538, 'date': '2011-12-04', 'time': '18:52:51'}
W018,None,{'station': 'W018', 'az': 144.751, 'dist': '70.1547', 'pga': 0.479, 'date': '2011-12-04', 'time': '18:52:51'}
W019,None,{'station': 'W019', 'az': 167.429, 'dist': '78.3867', 'pga': 0.419, 'date': '2011-12-04', 'time': '18:52:51'}
